row,current_authors,doi,title
100,"Kimberly Danae Cauley Narain, Ayan Patel, Samuel Skootsky,; [+ others]",https://pmc.ncbi.nlm.nih.gov/articles/PMC11116283/,Exploring the Relationship Between Medication Adhe
106,Michael F. Furukawa; [+ others],https://doi.org/10.1377/hlthaff.2020.00017,Consolidation Of Providers Into Health Systems Inc
107,Jiang Bian; [+ others],https://doi.org/10.1038/s44401-024-00002-3,Transdisciplinary perspectives for health systems 
109,"Nate C Apathy, Joshua R Vest, Julia Adler-Milstein,; [+ others]",https://pmc.ncbi.nlm.nih.gov/articles/PMC8279783/,Practice and market factors associated with provid
111,"Deena J. Chisolm, Jerome A. Dugan, Jose F. Figueroa,; [+ others]",https://onlinelibrary.wiley.com/doi/10.1111/1475-6773.14192,Improving health equity through health care system
113,"Kimberly Danae Cauley Narain, Ayan Patel, Samuel Skootsky,; [+ others]",https://pmc.ncbi.nlm.nih.gov/articles/PMC11116283/,Exploring the Relationship Between Medication Adhe
114,"Eugene C Rich, Kristanna Peris, Marlena Luhr,; [+ others]",https://pmc.ncbi.nlm.nih.gov/articles/PMC10682337/,Association of the Range of Outpatient Services Pr
116,"MariÃ©tou H OuayogodÃ©, Ellen Meara, Kate Ho,; [+ others]",https://pmc.ncbi.nlm.nih.gov/articles/PMC7887069/,Estimates of ACO savings in the presence of provid
117,Jeffrey Balser; [+ others],https://doi.org/10.31478/202104d,Care Systems COVID-19 Impact Assessment: Lessons L
118,Nancy E. Morden; [+ others],https://doi.org/10.1056/NEJMsa2034159,Racial Inequality in Prescription Opioid Receipt â
120,Beth A Kallmyer; [+ others],https://doi.org/10.1002/trc2.12408,Dementia care navigation: Building toward a common
121,Michelle Doose; [+ others],https://doi.org/10.1200/OP.20.01089,Fragmentation of Care Among Black Women With Breas
122,Bismarck C. Odei; [+ others],https://doi.orgorg/10.1001/jamanetworkopen.2021.36358,Representation of Women in the Leadership Structur
123,Jennifer F Waljee; [+ others],https://doi.org/10.1097/SLA.0000000000005802,Safety and Distribution of Opioid Prescribing by U
124,Laura Kimmey; [+ others],https://doi.org/10.1377/hlthaff.2020.00812,Geographic Variation In The Consolidation Of Physi
125,Melissa Stahl; [+ others],https://doi.org/10.2196/32819,Accelerating Virtual Health Implementation Followi
126,Michael I Ellenbogen; [+ others],https://doi.org/10.1007/s11606-023-08060-3,Reducing Overuse by Healthcare Systems: A Positive
127,"Brady Post, Brent K Hollenbeck, Edward C Norton,; [+ others]",https://pmc.ncbi.nlm.nih.gov/articles/PMC10771899/,Hospital-physician integration and clinical volume
128,"Anthony N. Almazan, Matan Benyishay, Brooke Stott,; [+ others]",https://www.liebertpub.com/doi/10.1089/lgbt.2021.0391,Gender-Affirming Primary Care Access Among Rural T
129,"MariÃ©tou H OuayogodÃ©, Ellen Meara, Kate Ho,; [+ others]",https://pmc.ncbi.nlm.nih.gov/articles/PMC7887069/,Estimates of ACO savings in the presence of provid
130,"Jodi L. Liu, Zachary M. Levinson, Nabeel Shariq Qureshi, et al.",www.rand.org/t/RRA805-1,Impact of Policy Options for Reducing Hospital Pri
131,"Stephen M Shortell, Daniel J Gottlieb, Pablo Martinez Camblor, et al.",https://pmc.ncbi.nlm.nih.gov/articles/PMC8143673/,Hospital‐based health systems 20 years later: A ta
132,"Qian (Eric) Luo, Bernard Black, David J. Magid, et al.",https://onlinelibrary.wiley.com/doi/abs/10.1111/1475-6773.14314?casa_token=2wDwDwJHjdcAAAAA:bd-E4Jd4J2Es6QgIwJZo3_tGHAlvEzfKAU89FDjANf7c6F8OYfuKqDOtrOtLtgbwR44zzha0Ue7GjQE,A more complete measure of vertical integration be
134,Keren Ladin et al.,https://doi.org/10.1377/hlthaff.2021.00848,Understanding The Use Of Medicare Procedure Codes 
136,Christopher Cole Honeycutt et al.,https://doi.org/10.1001/jamanetworkopen.2020.37196,Assessment of Spanish Translation of Websites at T
137,"Kolodziej M., [+ others]",https://doi.org/10.1200/OP.23.00632,Private Payers and Cancer Care: Revisiting the Lan
138,Rogowski J.; [+ others],https://doi.org/10.1001/jamanetworkopen.2025.13274,Outcomes for Very Preterm Infants Across Health Sy
139,Fulton B.; [+ others],Not available in provided text,State Health Care Cost Commissions: Their Prioriti
140,Machta R. [+ others],https://doi.org/10.1111/1475-6773.13313,Can vertically integrated health systems provide g
141,Clemens J. [+ others],https://doi.org/10.1111/coep.12696,Plugging gaps in payment systems: Evidence from th
142,Machta RM. [+ others],https://doi.org/10.1111/1475-6773.13584,Health system integration with physician specialti
143,"Furukawa M., [+ others]",https://doi.org/10.1377/forefront.20191122.345861,Consolidation And Health Systems In 2018: New Data
144,Furukawa M. [+ others],https://doi.org/10.1177/1077558718823130,Landscape of Health Systems in the United States
145,Johnston K. [+ others],https://doi.org/10.1001/jama.2020.13136,Association of Clinician Health System Affiliation
146,"Horwitz L., [+ others]",https://doi.org/10.1377/hlthaff.2019.01246,Quantifying Health Systems’ Investment In Social D
147,"Barbash I., [+ others]",https://doi.org/10.1016/j.jcrc.2019.08.009,Sepsis quality in safety-net hospitals: an analysi
