eid,doi,title,authors,year,journal,citations,scopus_link,search_desc,query,relevance_score,confirmed_compendium,search_idx,search_eid,search_doi,search_title,search_authors,search_year,match_status,match_confidence,match_type,reference_idx,reference_title,reference_doi,match_details
2-s2.0-85203420319,10.1097/JHM-D-23-00266,Associations between Integration and Patient Experience in Hospital-Based Health Systems: An Exploration of Horizontal and Vertical Forms of Integration,Torres J.S.,2024,Journal of Healthcare Management,1,,Direct: AHRQ + Compendium + health,TITLE-ABS-KEY(AHRQ AND compendium AND health),12.0,False,0,2-s2.0-85203420319,10.1097/JHM-D-23-00266,Associations between Integration and Patient Experience in Hospital-Based Health Systems: An Exploration of Horizontal and Vertical Forms of Integration,Torres J.S.,2024,very_likely_match,100.0,title_fuzzy,108.0,Associations Between Integration and Patient Experience in Hospital-Based Health Systems: An Exploration of Horizontal and Vertical Forms of Integration,https://journals.lww.com/jhmonline/abstract/2024/09000/associations_between_integration_and_patient.4.aspx,Title similarity: 100.0%
2-s2.0-85211931135,10.1177/11786329241304619,Does Physician-Hospital Vertical Integration Affect Hospital Output?,Upadhyay S.,2024,Health Services Insights,0,,Direct: AHRQ + Compendium + health,TITLE-ABS-KEY(AHRQ AND compendium AND health),12.0,False,1,2-s2.0-85211931135,10.1177/11786329241304619,Does Physician-Hospital Vertical Integration Affect Hospital Output?,Upadhyay S.,2024,very_likely_match,100.0,title_fuzzy,21.0,Does Physician-Hospital Vertical Integration Affect Hospital Output?,https://pmc.ncbi.nlm.nih.gov/articles/PMC11645726/,Title similarity: 100.0%
2-s2.0-85219543611,10.1016/j.jtcvs.2024.12.032,Postoperative outcomes following lung resection performed at private equity–acquired hospitals,Williams J.E.,2025,Journal of Thoracic and Cardiovascular Surgery,0,,Proximity: Agency near Compendium,"TITLE-ABS-KEY(""Agency for Healthcare Research"" W/15 compendium)",10.0,False,5,2-s2.0-85219543611,10.1016/j.jtcvs.2024.12.032,Postoperative outcomes following lung resection performed at private equity–acquired hospitals,Williams J.E.,2025,very_likely_match,92.62232985593641,title_fuzzy,42.0,Postoperative outcomes following lung resection performed at private equityâ€“acquired hospitals,https://doi.org/10.1016/j.jtcvs.2024.12.034,Title similarity: 92.6%
2-s2.0-85217569562,10.1001/jamasurg.2024.5920,Esophagectomy Trends and Postoperative Outcomes at Private Equity-Acquired Health Centers,Williams J.E.,2025,JAMA Surgery,1,,Proximity: Agency near Compendium,"TITLE-ABS-KEY(""Agency for Healthcare Research"" W/15 compendium)",10.0,False,6,2-s2.0-85217569562,10.1001/jamasurg.2024.5920,Esophagectomy Trends and Postoperative Outcomes at Private Equity-Acquired Health Centers,Williams J.E.,2025,very_likely_match,91.9057239057239,title_fuzzy,43.0,Esophagectomy Trends and Postoperative Outcomes at Private Equityâ€“Acquired Health Centers,https://jamanetwork.com/journals/jamasurgery/article-abstract/2828533,Title similarity: 91.9%
2-s2.0-85115867159,10.1001/jamainternmed.2021.5531,Low-Value Care at the Actionable Level of Individual Health Systems,Ganguli I.,2021,JAMA Internal Medicine,49,,Proximity: Agency near Compendium,"TITLE-ABS-KEY(""Agency for Healthcare Research"" W/15 compendium)",8.0,False,23,2-s2.0-85115867159,10.1001/jamainternmed.2021.5531,Low-Value Care at the Actionable Level of Individual Health Systems,Ganguli I.,2021,very_likely_match,100.0,title_fuzzy,23.0,Low-Value Care at the Actionable Level of Individual Health Systems,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/2784487,Title similarity: 100.0%
2-s2.0-105004032689,10.5858/arpa.2024-0056-OA,The Anatomic Pathology Hospitalist Model A Novel Approach to Frozen Section Practice in a Tertiary Care Center,Chapel E.E.,2025,Archives of Pathology and Laboratory Medicine,0,,References: AHRQ Compendium,"REF(""AHRQ Compendium"")",8.0,False,25,2-s2.0-105004032689,10.5858/arpa.2024-0056-OA,The Anatomic Pathology Hospitalist Model A Novel Approach to Frozen Section Practice in a Tertiary Care Center,Chapel E.E.,2025,very_likely_match,100.0,title_fuzzy,62.0,The Anatomic Pathology Hospitalist Model A Novel Approach to Frozen Section Practice in a Tertiary Care Center,https://meridian.allenpress.com/aplm/article/149/5/469/503034/The-Anatomic-Pathology-Hospitalist-Model-A-Novel,Title similarity: 100.0%
2-s2.0-85168162268,10.1007/s11606-023-08363-5,Association of the Range of Outpatient Services Provided by Primary Care Physicians with Subsequent Health Care Costs and Utilization,Rich E.C.,2023,Journal of General Internal Medicine,3,,References: AHRQ Compendium,"REF(""AHRQ Compendium"")",7.0,False,27,2-s2.0-85168162268,10.1007/s11606-023-08363-5,Association of the Range of Outpatient Services Provided by Primary Care Physicians with Subsequent Health Care Costs and Utilization,Rich E.C.,2023,very_likely_match,100.0,title_fuzzy,112.0,Association of the Range of Outpatient Services Provided by Primary Care Physicians with Subsequent Health Care Costs and Utilization,https://pmc.ncbi.nlm.nih.gov/articles/PMC10682337/,Title similarity: 100.0%
2-s2.0-85099243840,10.1016/j.hjdsi.2020.100460,Estimates of ACO savings in the presence of provider and beneficiary selection,Ouayogodé M.H.,2021,Healthcare,9,,References: AHRQ Compendium,"REF(""AHRQ Compendium"")",6.0,False,249,2-s2.0-85099243840,10.1016/j.hjdsi.2020.100460,Estimates of ACO savings in the presence of provider and beneficiary selection,Ouayogodé M.H.,2021,very_likely_match,100.0,title_fuzzy,114.0,Estimates of ACO savings in the presence of provider and beneficiary selection,https://pmc.ncbi.nlm.nih.gov/articles/PMC7887069/,Title similarity: 100.0%
2-s2.0-85109674505,10.21037/jhmhp-21-13,The application of organizational slack to hospital system responsiveness during the COVID-19 pandemic,McHugh J.P.,2021,Journal of Hospital Management and Health Policy,4,,References: AHRQ Compendium,"REF(""AHRQ Compendium"")",6.0,False,250,2-s2.0-85109674505,10.21037/jhmhp-21-13,The application of organizational slack to hospital system responsiveness during the COVID-19 pandemic,McHugh J.P.,2021,very_likely_match,100.0,title_fuzzy,113.0,The application of organizational slack to hospital system responsiveness during the COVID-19 pandemic,https://jhmhp.amegroups.org/article/view/6701/html,Title similarity: 100.0%
2-s2.0-85166783883,10.1377/hlthaff.2022.01319,Who’s accountable? Low-value care received by medicare beneficiaries outside of their attributed health systems,Ganguli I.,2023,Health Affairs,3,,Author: Ganguli,"AUTHOR-NAME(""Ganguli I*"") AND TITLE-ABS-KEY(""health system*"")",5.0,False,350,2-s2.0-85166783883,10.1377/hlthaff.2022.01319,Who’s accountable? Low-value care received by medicare beneficiaries outside of their attributed health systems,Ganguli I.,2023,very_likely_match,94.3234639253399,title_fuzzy,35.0,Whoâ€™s Accountable? Low-Value Care Received By Medicare Beneficiaries Outside Of Their Attributed Health Systems,https://pmc.ncbi.nlm.nih.gov/articles/PMC10860675/,Title similarity: 94.3%
