eid,doi,title,authors,year,journal,citations,scopus_link,search_desc,query,relevance_score,confirmed_compendium,search_idx,search_eid,search_doi,search_title,search_authors,search_year,match_status,match_confidence,match_type,reference_idx,reference_title,reference_doi,match_details
2-s2.0-85186696244,10.1016/j.ijans.2024.100687,Impact of Covid-19 on patient safety culture in hospital wards: A comparative study,Raziani Y.,2024,International Journal of Africa Nursing Sciences,1,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),6.0,False,70,2-s2.0-85186696244,10.1016/j.ijans.2024.100687,Impact of Covid-19 on patient safety culture in hospital wards: A comparative study,Raziani Y.,2024,no_match,0.0,,,,,
2-s2.0-85178327566,10.1097/JU.0000000000003698,Management of Lower Urinary Tract Symptoms Attributed to Benign Prostatic Hyperplasia (BPH): AUA Guideline Amendment 2023,Sandhu J.S.,2024,Journal of Urology,169,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),6.0,False,71,2-s2.0-85178327566,10.1097/JU.0000000000003698,Management of Lower Urinary Tract Symptoms Attributed to Benign Prostatic Hyperplasia (BPH): AUA Guideline Amendment 2023,Sandhu J.S.,2024,no_match,0.0,,,,,
2-s2.0-85194995812,10.1080/0886022X.2024.2353341,Medication burden in patients with dialysis-dependent CKD: a systematic review,Liu X.,2024,Renal Failure,4,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),6.0,False,72,2-s2.0-85194995812,10.1080/0886022X.2024.2353341,Medication burden in patients with dialysis-dependent CKD: a systematic review,Liu X.,2024,no_match,0.0,,,,,
2-s2.0-85202999320,10.11886/scjsws20230613001,Factors related to diabetes distress among adolescent patients with type 1 diabetes:a Meta-analysis,Lu X.,2024,Sichuan Jingshen Weisheng,0,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),6.0,False,73,2-s2.0-85202999320,10.11886/scjsws20230613001,Factors related to diabetes distress among adolescent patients with type 1 diabetes:a Meta-analysis,Lu X.,2024,no_match,0.0,,,,,
2-s2.0-85205789036,10.3389/fped.2024.1414778,Clinical predictors of poor outcome of bacterial meningitis in infants less than 90 days: a systematic review,Liu Y.,2024,Frontiers in Pediatrics,1,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),6.0,False,74,2-s2.0-85205789036,10.3389/fped.2024.1414778,Clinical predictors of poor outcome of bacterial meningitis in infants less than 90 days: a systematic review,Liu Y.,2024,no_match,0.0,,,,,
2-s2.0-85197698358,10.1002/pmrj.13213,Relevance of learning health systems to physiatrists and its synergy with implementation science: A commentary,Annaswamy T.M.,2024,Pm and R,0,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),6.0,False,75,2-s2.0-85197698358,10.1002/pmrj.13213,Relevance of learning health systems to physiatrists and its synergy with implementation science: A commentary,Annaswamy T.M.,2024,no_match,0.0,,,,,
2-s2.0-85175700023,10.1016/j.archger.2023.105211,A global perspective on risk factors for social isolation in community-dwelling older adults: A systematic review and meta-analysis,Chen M.,2024,Archives of Gerontology and Geriatrics,14,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),6.0,False,76,2-s2.0-85175700023,10.1016/j.archger.2023.105211,A global perspective on risk factors for social isolation in community-dwelling older adults: A systematic review and meta-analysis,Chen M.,2024,no_match,0.0,,,,,
2-s2.0-85183149770,10.3390/children11010133,Hospital Factors Associated with the Survival of Infants Born at Periviable Gestation: The USA National Database,Qattea I.,2024,Children,3,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),6.0,False,77,2-s2.0-85183149770,10.3390/children11010133,Hospital Factors Associated with the Survival of Infants Born at Periviable Gestation: The USA National Database,Qattea I.,2024,no_match,0.0,,,,,
2-s2.0-85216272903,10.3389/frhs.2024.1474195,Engaging older adults in diagnostic safety: implementing a diagnostic communication note sheet in a primary care setting,Tran A.,2024,Frontiers in Health Services,0,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),6.0,False,78,2-s2.0-85216272903,10.3389/frhs.2024.1474195,Engaging older adults in diagnostic safety: implementing a diagnostic communication note sheet in a primary care setting,Tran A.,2024,no_match,0.0,,,,,
2-s2.0-85166409590,10.1002/lrh2.10381,Assessment of learning health system science competency in the equity and justice domain,Franklin P.D.,2024,Learning Health Systems,1,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),6.0,False,79,2-s2.0-85166409590,10.1002/lrh2.10381,Assessment of learning health system science competency in the equity and justice domain,Franklin P.D.,2024,no_match,0.0,,,,,
2-s2.0-85208647165,10.3389/frhs.2024.1419248,Longitudinal analysis of culture of patient safety survey results in surgical departments,Butler L.R.,2024,Frontiers in Health Services,0,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),6.0,False,80,2-s2.0-85208647165,10.3389/frhs.2024.1419248,Longitudinal analysis of culture of patient safety survey results in surgical departments,Butler L.R.,2024,no_match,0.0,,,,,
2-s2.0-85202857581,10.18502/htaa.v8i3.16402,Patient Safety Culture in a Tertiary Referral Hospital: Evidence from a Main Criterion in Accreditation,Mohammadpour S.,2024,Health Technology Assessment in Action,0,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),6.0,False,81,2-s2.0-85202857581,10.18502/htaa.v8i3.16402,Patient Safety Culture in a Tertiary Referral Hospital: Evidence from a Main Criterion in Accreditation,Mohammadpour S.,2024,no_match,0.0,,,,,
2-s2.0-85200528436,10.1007/978-3-031-61943-4_22,Addressing Chronic Conditions and Social Determinants of Health During the COVID-19 Pandemic,Serag H.,2024,Advances in Experimental Medicine and Biology,0,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),6.0,False,82,2-s2.0-85200528436,10.1007/978-3-031-61943-4_22,Addressing Chronic Conditions and Social Determinants of Health During the COVID-19 Pandemic,Serag H.,2024,no_match,0.0,,,,,
2-s2.0-85207038535,10.3389/fnagi.2024.1465457,Association of trimethylamine oxide and its precursors with cognitive impairment: a systematic review and meta-analysis,Long C.,2024,Frontiers in Aging Neuroscience,1,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),6.0,False,83,2-s2.0-85207038535,10.3389/fnagi.2024.1465457,Association of trimethylamine oxide and its precursors with cognitive impairment: a systematic review and meta-analysis,Long C.,2024,no_match,0.0,,,,,
2-s2.0-85211980816,10.1016/j.hjdsi.2024.100755,"Corrigendum to “Reading the crystal ball: Primary care implications while awaiting outcomes for multi-cancer early detection tests” [Healthcare 11 (2023) 100705] (Healthcare (2023) 11(3), (S2213076423000325), (10.1016/j.hjdsi.2023.100705))",Lin G.A.,2024,Healthcare,0,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),6.0,False,84,2-s2.0-85211980816,10.1016/j.hjdsi.2024.100755,"Corrigendum to “Reading the crystal ball: Primary care implications while awaiting outcomes for multi-cancer early detection tests” [Healthcare 11 (2023) 100705] (Healthcare (2023) 11(3), (S2213076423000325), (10.1016/j.hjdsi.2023.100705))",Lin G.A.,2024,no_match,0.0,,,,,
2-s2.0-85205006931,10.7717/peerj.18083,Incidence and risk factors of new-onset sacroiliac joint pain after spinal surgery: a systematic review and meta-analysis,Xu C.H.,2024,Peerj,0,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),6.0,False,85,2-s2.0-85205006931,10.7717/peerj.18083,Incidence and risk factors of new-onset sacroiliac joint pain after spinal surgery: a systematic review and meta-analysis,Xu C.H.,2024,no_match,0.0,,,,,
2-s2.0-85203426425,10.3389/fpubh.2024.1457266,Meta-analysis of hybrid immunity to mitigate the risk of Omicron variant reinfection,Zheng H.,2024,Frontiers in Public Health,2,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),6.0,False,86,2-s2.0-85203426425,10.3389/fpubh.2024.1457266,Meta-analysis of hybrid immunity to mitigate the risk of Omicron variant reinfection,Zheng H.,2024,no_match,0.0,,,,,
2-s2.0-85218155222,10.1186/s12912-025-02754-1,Assessment of nurses’ knowledge and practice of pressure injuries prevention for critically ill patients in Rwanda: a cross-sectional study,Mukantwari S.,2025,BMC Nursing,0,,Broad: Agency mentions,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"")",6.0,False,87,2-s2.0-85218155222,10.1186/s12912-025-02754-1,Assessment of nurses’ knowledge and practice of pressure injuries prevention for critically ill patients in Rwanda: a cross-sectional study,Mukantwari S.,2025,no_match,0.0,,,,,
2-s2.0-105004221957,10.1186/s12885-025-14210-z,Prevalence and risk factors for cancer-related fatigue in women with malignant gynecological tumors: a meta-analysis and systematic review,Zhao J.,2025,BMC Cancer,0,,Broad: Agency mentions,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"")",6.0,False,88,2-s2.0-105004221957,10.1186/s12885-025-14210-z,Prevalence and risk factors for cancer-related fatigue in women with malignant gynecological tumors: a meta-analysis and systematic review,Zhao J.,2025,no_match,0.0,,,,,
2-s2.0-85218248006,10.1186/s13690-025-01515-5,Health loss and economic burden of asthma in China: a qualitative review based on existing literature,Zhang P.,2025,Archives of Public Health,0,,Broad: Agency mentions,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"")",6.0,False,89,2-s2.0-85218248006,10.1186/s13690-025-01515-5,Health loss and economic burden of asthma in China: a qualitative review based on existing literature,Zhang P.,2025,no_match,0.0,,,,,
2-s2.0-105003096384,10.1186/s12889-025-22703-6,Herpes zoster incidence and burden in older Chinese: a systematic review and meta-analysis,Zheng B.,2025,BMC Public Health,0,,Broad: Agency mentions,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"")",6.0,False,90,2-s2.0-105003096384,10.1186/s12889-025-22703-6,Herpes zoster incidence and burden in older Chinese: a systematic review and meta-analysis,Zheng B.,2025,no_match,0.0,,,,,
2-s2.0-85210111249,10.36076/PPJ.2024.7.S115,Comprehensive Evidence-Based Guidelines for Implantable Peripheral Nerve Stimulation (PNS) in the Management Of Chronic Pain: From the American Society Of Interventional Pain Physicians (ASIPP),Manchikanti L.,2024,Pain Physician,6,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),6.0,False,91,2-s2.0-85210111249,10.36076/PPJ.2024.7.S115,Comprehensive Evidence-Based Guidelines for Implantable Peripheral Nerve Stimulation (PNS) in the Management Of Chronic Pain: From the American Society Of Interventional Pain Physicians (ASIPP),Manchikanti L.,2024,no_match,0.0,,,,,
2-s2.0-85212895558,10.1016/B978-0-12-824407-4.00009-X,Global initiatives for improving health and medication literacy,Mohd Taufek N.H.,2024,Health Literacy in Medicines Use and Pharmacy A Definitive Guide,1,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),6.0,False,92,2-s2.0-85212895558,10.1016/B978-0-12-824407-4.00009-X,Global initiatives for improving health and medication literacy,Mohd Taufek N.H.,2024,no_match,0.0,,,,,
2-s2.0-105007998232,10.3389/fneur.2025.1465962,Correlates of preparedness for caregiving of poststroke patients: a meta-analysis,Li C.,2025,Frontiers in Neurology,0,,Broad: Agency mentions,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"")",6.0,False,93,2-s2.0-105007998232,10.3389/fneur.2025.1465962,Correlates of preparedness for caregiving of poststroke patients: a meta-analysis,Li C.,2025,no_match,0.0,,,,,
2-s2.0-85204890642,10.3389/fendo.2024.1395771,Schizophrenia and type 2 diabetes risk: a systematic review and meta-analysis,Dong K.,2024,Frontiers in Endocrinology,2,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),6.0,False,94,2-s2.0-85204890642,10.3389/fendo.2024.1395771,Schizophrenia and type 2 diabetes risk: a systematic review and meta-analysis,Dong K.,2024,no_match,0.0,,,,,
2-s2.0-85209364828,10.3389/fepid.2024.1455822,Evaluating health-related quality of life in Ethiopia: systematic review and meta-analysis of EQ-5D-based studies,Tarekegn T.B.,2024,Frontiers in Epidemiology,1,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),6.0,False,95,2-s2.0-85209364828,10.3389/fepid.2024.1455822,Evaluating health-related quality of life in Ethiopia: systematic review and meta-analysis of EQ-5D-based studies,Tarekegn T.B.,2024,no_match,0.0,,,,,
2-s2.0-85190613687,10.3389/fendo.2024.1368079,Risk factors for erectile dysfunction in diabetes mellitus: a systematic review and meta-analysis,Dilixiati D.,2024,Frontiers in Endocrinology,16,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),6.0,False,96,2-s2.0-85190613687,10.3389/fendo.2024.1368079,Risk factors for erectile dysfunction in diabetes mellitus: a systematic review and meta-analysis,Dilixiati D.,2024,no_match,0.0,,,,,
2-s2.0-85175845059,10.1007/s00586-023-07990-0,Evaluating tissue injury in cervical spondylotic myelopathy with spinal cord MRI: a systematic review,Khan A.F.,2024,European Spine Journal,10,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),6.0,False,97,2-s2.0-85175845059,10.1007/s00586-023-07990-0,Evaluating tissue injury in cervical spondylotic myelopathy with spinal cord MRI: a systematic review,Khan A.F.,2024,no_match,0.0,,,,,
2-s2.0-85201548277,10.3389/fpubh.2024.1415398,The prevalence of sarcopenia and risk factors in the older adult in China: a systematic review and meta-analysis,Meng S.,2024,Frontiers in Public Health,12,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),6.0,False,98,2-s2.0-85201548277,10.3389/fpubh.2024.1415398,The prevalence of sarcopenia and risk factors in the older adult in China: a systematic review and meta-analysis,Meng S.,2024,no_match,0.0,,,,,
2-s2.0-85209223592,10.3389/fimmu.2024.1455346,Biomarkers of rheumatoid arthritis-associated interstitial lung disease: a systematic review and meta-analysis,Guo L.,2024,Frontiers in Immunology,3,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),6.0,False,99,2-s2.0-85209223592,10.3389/fimmu.2024.1455346,Biomarkers of rheumatoid arthritis-associated interstitial lung disease: a systematic review and meta-analysis,Guo L.,2024,no_match,0.0,,,,,
2-s2.0-85208801723,10.3389/fcvm.2024.1445193,Trends and patterns in pulmonary arterial hypertension-associated hospital admissions among methamphetamine users: a decade-long study,Husein A.,2024,Frontiers in Cardiovascular Medicine,0,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),6.0,False,100,2-s2.0-85208801723,10.3389/fcvm.2024.1445193,Trends and patterns in pulmonary arterial hypertension-associated hospital admissions among methamphetamine users: a decade-long study,Husein A.,2024,no_match,0.0,,,,,
2-s2.0-85174807192,10.1016/j.ajem.2023.10.017,Emergency department visits in Parkinson's disease: The impact of comorbid conditions,Al-Hakeem H.,2024,American Journal of Emergency Medicine,1,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),6.0,False,101,2-s2.0-85174807192,10.1016/j.ajem.2023.10.017,Emergency department visits in Parkinson's disease: The impact of comorbid conditions,Al-Hakeem H.,2024,no_match,0.0,,,,,
2-s2.0-85200526756,10.34172/ijhpm.2024.7931,Spatial Distribution and Birth Prevalence of Congenital Heart Disease in Iran: A Systematic Review and Hierarchical Bayesian Meta-analysis,Farhadi Hassankiadeh R.,2024,International Journal of Health Policy and Management,1,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),6.0,False,102,2-s2.0-85200526756,10.34172/ijhpm.2024.7931,Spatial Distribution and Birth Prevalence of Congenital Heart Disease in Iran: A Systematic Review and Hierarchical Bayesian Meta-analysis,Farhadi Hassankiadeh R.,2024,no_match,0.0,,,,,
2-s2.0-105007654455,10.1016/j.ajt.2025.05.024,Evaluation of the stability of organ procurement organization performance metrics,Lopez R.,2025,American Journal of Transplantation,0,,Broad: Agency mentions,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"")",6.0,False,103,2-s2.0-105007654455,10.1016/j.ajt.2025.05.024,Evaluation of the stability of organ procurement organization performance metrics,Lopez R.,2025,no_match,0.0,,,,,
2-s2.0-86000277111,10.1080/10903127.2025.2465715,Mental Health and Occupational Stress Among Emergency Telecommunicators: A Systematic Review and Meta-Analysis,Saldanha I.J.,2025,Prehospital Emergency Care,0,,Broad: Agency mentions,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"")",6.0,False,104,2-s2.0-86000277111,10.1080/10903127.2025.2465715,Mental Health and Occupational Stress Among Emergency Telecommunicators: A Systematic Review and Meta-Analysis,Saldanha I.J.,2025,no_match,0.0,,,,,
2-s2.0-105001307142,10.1136/leader-2024-001167,Exploring caregiver support: healthcare leaders' perspectives on medical errors,Cummins D.,2025,BMJ Leader,1,,Broad: Agency mentions,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"")",6.0,False,105,2-s2.0-105001307142,10.1136/leader-2024-001167,Exploring caregiver support: healthcare leaders' perspectives on medical errors,Cummins D.,2025,no_match,0.0,,,,,
2-s2.0-85197376752,10.1016/j.amjcard.2024.05.039,"Intravascular Ultrasound during Endovascular Intervention for Peripheral Artery Disease, by Severity, Location, Device, and Procedure",Kumar A.,2024,American Journal of Cardiology,2,,Broad: Agency mentions,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"")",6.0,False,106,2-s2.0-85197376752,10.1016/j.amjcard.2024.05.039,"Intravascular Ultrasound during Endovascular Intervention for Peripheral Artery Disease, by Severity, Location, Device, and Procedure",Kumar A.,2024,no_match,0.0,,,,,
2-s2.0-85184163067,10.1111/1471-0528.17768,The difference in extracellular matrix metabolism in women with and without pelvic organ prolapse: A systematic review and meta-analysis,Tian Z.,2024,BJOG an International Journal of Obstetrics and Gynaecology,6,,Broad: Agency mentions,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"")",6.0,False,107,2-s2.0-85184163067,10.1111/1471-0528.17768,The difference in extracellular matrix metabolism in women with and without pelvic organ prolapse: A systematic review and meta-analysis,Tian Z.,2024,no_match,0.0,,,,,
2-s2.0-85192817640,10.1016/j.japh.2024.102110,Accuracy of a chatbot in answering questions that patients should ask before taking a new medication,Cornelison B.R.,2024,Journal of the American Pharmacists Association,2,,Broad: Agency mentions,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"")",6.0,False,108,2-s2.0-85192817640,10.1016/j.japh.2024.102110,Accuracy of a chatbot in answering questions that patients should ask before taking a new medication,Cornelison B.R.,2024,no_match,0.0,,,,,
2-s2.0-85196520374,10.1007/s00520-024-08654-5,Risk factors for preoperative frailty in older patients with gastric cancer: a systematic review and meta-analysis,Zhao B.,2024,Supportive Care in Cancer,3,,Broad: Agency mentions,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"")",6.0,False,109,2-s2.0-85196520374,10.1007/s00520-024-08654-5,Risk factors for preoperative frailty in older patients with gastric cancer: a systematic review and meta-analysis,Zhao B.,2024,no_match,0.0,,,,,
2-s2.0-85198642581,10.1002/oto2.137,Quality of Popular Online Resources About Vestibular Migraine,Wei O.,2024,Oto Open,0,,Broad: Agency mentions,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"")",6.0,False,110,2-s2.0-85198642581,10.1002/oto2.137,Quality of Popular Online Resources About Vestibular Migraine,Wei O.,2024,no_match,0.0,,,,,
2-s2.0-85195593404,10.1111/wrr.13182,Trends in inpatient burden from pressure injuries in the United States: Cross-sectional study National Inpatient Sample 2009–2019,Choragudi S.,2024,Wound Repair and Regeneration,4,,Broad: Agency mentions,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"")",6.0,False,111,2-s2.0-85195593404,10.1111/wrr.13182,Trends in inpatient burden from pressure injuries in the United States: Cross-sectional study National Inpatient Sample 2009–2019,Choragudi S.,2024,no_match,0.0,,,,,
2-s2.0-85192196883,10.1111/1475-6773.14312,Performance of health care service area definitions for capturing variation in inpatient care and social determinants of health,Crook H.,2024,Health Services Research,1,,Broad: Agency mentions,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"")",6.0,False,112,2-s2.0-85192196883,10.1111/1475-6773.14312,Performance of health care service area definitions for capturing variation in inpatient care and social determinants of health,Crook H.,2024,no_match,0.0,,,,,
2-s2.0-85197060842,10.1016/j.eclinm.2024.102712,Comparative effectiveness of warfarin management strategies: a systematic review and network meta-analysis,Dhippayom T.,2024,Eclinicalmedicine,1,,Broad: Agency mentions,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"")",6.0,False,113,2-s2.0-85197060842,10.1016/j.eclinm.2024.102712,Comparative effectiveness of warfarin management strategies: a systematic review and network meta-analysis,Dhippayom T.,2024,no_match,0.0,,,,,
2-s2.0-85208244828,10.6039/j.issn.1001-0408.2024.15.12,Systematic review for pharmacoeconomics evaluation in spinal muscular atrophy,Zhu X.,2024,China Pharmacy,0,,Broad: Agency mentions,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"")",6.0,False,114,2-s2.0-85208244828,10.6039/j.issn.1001-0408.2024.15.12,Systematic review for pharmacoeconomics evaluation in spinal muscular atrophy,Zhu X.,2024,no_match,0.0,,,,,
2-s2.0-85194851993,10.1111/pan.14920,Wake Up Safe in the USA & International Patient Safety,Iyer R.S.,2024,Paediatric Anaesthesia,2,,Broad: Agency mentions,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"")",6.0,False,115,2-s2.0-85194851993,10.1111/pan.14920,Wake Up Safe in the USA & International Patient Safety,Iyer R.S.,2024,no_match,0.0,,,,,
2-s2.0-85211608403,10.1080/08880018.2024.2437045,The prevalence of opioid misuse diagnostic codes in children with sickle cell disease,Tantoco A.M.,2025,Pediatric Hematology and Oncology,0,,Broad: Agency mentions,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"")",6.0,False,116,2-s2.0-85211608403,10.1080/08880018.2024.2437045,The prevalence of opioid misuse diagnostic codes in children with sickle cell disease,Tantoco A.M.,2025,no_match,0.0,,,,,
2-s2.0-85211640073,10.3969/j.issn.1000-3614.2024.09.009,Contemporary Evidence Summary of Strategies for Weaning From Extracorporeal Membrane Oxygenation in Adult Patients,Wo C.,2024,Chinese Circulation Journal,0,,Broad: Agency mentions,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"")",6.0,False,117,2-s2.0-85211640073,10.3969/j.issn.1000-3614.2024.09.009,Contemporary Evidence Summary of Strategies for Weaning From Extracorporeal Membrane Oxygenation in Adult Patients,Wo C.,2024,no_match,0.0,,,,,
2-s2.0-85195479785,10.1016/j.genhosppsych.2024.05.002,"Three safety indices for the fourteen most prescribed antidepressants in the US, 2013–2020",Poliacoff Z.,2024,General Hospital Psychiatry,2,,Broad: Agency mentions,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"")",6.0,False,118,2-s2.0-85195479785,10.1016/j.genhosppsych.2024.05.002,"Three safety indices for the fourteen most prescribed antidepressants in the US, 2013–2020",Poliacoff Z.,2024,no_match,0.0,,,,,
2-s2.0-85215934724,10.1377/hlthaff.2023.01120,"Rates Of Patient Safety Indicators In Belgian Hospitals Were Low But Generally Higher Than In US Hospitals, 2016–18",Van Wilder A.,2024,Health Affairs,0,,Broad: Agency mentions,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"")",6.0,False,119,2-s2.0-85215934724,10.1377/hlthaff.2023.01120,"Rates Of Patient Safety Indicators In Belgian Hospitals Were Low But Generally Higher Than In US Hospitals, 2016–18",Van Wilder A.,2024,no_match,0.0,,,,,
2-s2.0-85201742044,10.1097/NUR.0000000000000840,"Early Identification, Intervention, and Prevention of Hospital-Acquired Pressure Injuries Using a Nurse-Driven Pressure Injury Prevention Program",McCray S.,2024,Clinical Nurse Specialist,1,,Broad: Agency mentions,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"")",6.0,False,120,2-s2.0-85201742044,10.1097/NUR.0000000000000840,"Early Identification, Intervention, and Prevention of Hospital-Acquired Pressure Injuries Using a Nurse-Driven Pressure Injury Prevention Program",McCray S.,2024,no_match,0.0,,,,,
2-s2.0-85202844249,10.1093/milmed/usae137,"Avoidable Hospitalizations in the Military Health System, Fiscal Years 2018-2019",Koehlmoos T.P.,2024,Military Medicine,0,,Broad: Agency mentions,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"")",6.0,False,121,2-s2.0-85202844249,10.1093/milmed/usae137,"Avoidable Hospitalizations in the Military Health System, Fiscal Years 2018-2019",Koehlmoos T.P.,2024,no_match,0.0,,,,,
2-s2.0-85204417848,10.1136/bmjopen-2023-080106,Risk factors of skin tear in older persons: A protocol for systematic review and meta-analysis,Chen L.,2024,BMJ Open,0,,Broad: Agency mentions,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"")",6.0,False,122,2-s2.0-85204417848,10.1136/bmjopen-2023-080106,Risk factors of skin tear in older persons: A protocol for systematic review and meta-analysis,Chen L.,2024,no_match,0.0,,,,,
2-s2.0-85208012394,10.17226/27820,Ending unequal treatment: Strategies to achieve equitable health care and optimal health for all,Benjamin G.C.,2024,Ending Unequal Treatment Strategies to Achieve Equitable Health Care and Optimal Health for all,19,,Broad: Agency mentions,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"")",6.0,False,123,2-s2.0-85208012394,10.17226/27820,Ending unequal treatment: Strategies to achieve equitable health care and optimal health for all,Benjamin G.C.,2024,no_match,0.0,,,,,
2-s2.0-85205083511,10.1001/jamanetworkopen.2024.35187,Rural-Urban Disparities in Hospital Services and Outcomes for Children with Medical Complexity,Leyenaar J.K.,2024,JAMA Network Open,0,,Broad: Agency mentions,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"")",6.0,False,124,2-s2.0-85205083511,10.1001/jamanetworkopen.2024.35187,Rural-Urban Disparities in Hospital Services and Outcomes for Children with Medical Complexity,Leyenaar J.K.,2024,no_match,0.0,,,,,
2-s2.0-85191557069,10.1089/bfm.2024.0041,Breastfeeding Barriers for Preterm Infants in Neonatal Intensive Care Unit Environments: A Systematic Assessment and Meta-Analysis,Liu C.,2024,Breastfeeding Medicine,2,,Broad: Agency mentions,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"")",6.0,False,125,2-s2.0-85191557069,10.1089/bfm.2024.0041,Breastfeeding Barriers for Preterm Infants in Neonatal Intensive Care Unit Environments: A Systematic Assessment and Meta-Analysis,Liu C.,2024,no_match,0.0,,,,,
2-s2.0-85201463915,10.19102/icrm.2024.15074,Trends in Atrial Fibrillation and Ablation Therapy During the Coronavirus Disease 2019 Pandemic,Johal A.,2024,Journal of Innovations in Cardiac Rhythm Management,0,,Broad: Agency mentions,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"")",6.0,False,126,2-s2.0-85201463915,10.19102/icrm.2024.15074,Trends in Atrial Fibrillation and Ablation Therapy During the Coronavirus Disease 2019 Pandemic,Johal A.,2024,no_match,0.0,,,,,
2-s2.0-85195602609,10.1002/jeo2.12054,Limitations of the knee society score in kinematically aligned total knee arthroplasty,Leica A.,2024,Journal of Experimental Orthopaedics,2,,Broad: Agency mentions,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"")",6.0,False,127,2-s2.0-85195602609,10.1002/jeo2.12054,Limitations of the knee society score in kinematically aligned total knee arthroplasty,Leica A.,2024,no_match,0.0,,,,,
2-s2.0-85199813633,10.1097/JMQ.0000000000000197,"Patient Surveys Are Used Most Often to Assess Health Care Innovations, Rigorous Methods Are Less Common",Qureshi N.,2024,American Journal of Medical Quality,1,,Broad: Agency mentions,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"")",6.0,False,128,2-s2.0-85199813633,10.1097/JMQ.0000000000000197,"Patient Surveys Are Used Most Often to Assess Health Care Innovations, Rigorous Methods Are Less Common",Qureshi N.,2024,no_match,0.0,,,,,
2-s2.0-85193205115,10.1371/journal.pone.0302969,Effect of topical emollient oil application on weight of preterm newborns: A systematic review and meta-analysis,Getaneh F.B.,2024,Plos One,0,,Broad: Agency mentions,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"")",6.0,False,129,2-s2.0-85193205115,10.1371/journal.pone.0302969,Effect of topical emollient oil application on weight of preterm newborns: A systematic review and meta-analysis,Getaneh F.B.,2024,no_match,0.0,,,,,
