Found_By_Query,eid,title,authors,year,journal,doi,citations,scopus_available,retrieval_method,status_code,full_text_size,error_message,checked_timestamp
3_Citation_Chain (Batch 1),2-s2.0-85177982056,Life-Sustaining Treatments Among Medicare Beneficiaries with and without Dementia at the End of Life,Zhu Y.,2023,Journal of Alzheimer S Disease,10.3233/JAD-230692,9,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:15:20.443248
3_Citation_Chain (Batch 1),2-s2.0-85163773788,Impact of Advance Care Planning on the Hospitalization-Associated Utilization and Cost of Patients with Alzheimer’s Disease-Related Disorders Receiving Primary Care via Telehealth in a Provider Shortage Area: A Quantitative Pre-Study,Yoo J.W.,2023,International Journal of Environmental Research and Public Health,10.3390/ijerph20126157,5,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:15:22.120775
3_Citation_Chain (Batch 1),2-s2.0-85162175378,Timing and setting of billed advance care planning among Medicare decedents in 2017–2019,Gotanda H.,2023,Journal of the American Geriatrics Society,10.1111/jgs.18476,4,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:15:26.689551
3_Citation_Chain (Batch 1),2-s2.0-85171351862,Visit and Between-Visit Interaction Frequency before and after COVID-19 Telehealth Implementation,Nouri S.,2023,JAMA Network Open,10.1001/jamanetworkopen.2023.33944,3,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:15:28.370300
3_Citation_Chain (Batch 1),2-s2.0-85163417267,Advance Care Planning in the Geriatrics Clinic,Ben-Moshe S.,2023,Clinics in Geriatric Medicine,10.1016/j.cger.2023.05.003,1,YES,DOI,200,3527,,2025-06-25T18:15:30.051625
3_Citation_Chain (Batch 1),2-s2.0-85139072500,Advance care planning billing codes in patients undergoing TAVR is infrequent and associated with adverse TAVR outcomes,Shah K.B.,2023,Journal of the American Geriatrics Society,10.1111/jgs.18045,0,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:15:31.865929
3_Citation_Chain (Batch 1),2-s2.0-85137284078,Missed Opportunities and Health Disparities for Advance Care Planning before Elective Surgery in Older Adults,Colley A.,2022,JAMA Surgery,10.1001/jamasurg.2022.3687,23,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:15:33.548368
3_Citation_Chain (Batch 1),2-s2.0-85123632988,Practice Billing for Medicare Advance Care Planning Across the USA,Luth E.A.,2022,Journal of General Internal Medicine,10.1007/s11606-022-07404-9,12,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:15:38.946472
3_Citation_Chain (Batch 1),2-s2.0-85135989582,The Underuse of Medicare's Prevention and Coordination Codes in Primary Care A Cross-Sectional and Modeling Study,Agarwal S.D.,2022,Annals of Internal Medicine,10.7326/M21-4770,12,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:15:40.635999
3_Citation_Chain (Batch 1),2-s2.0-85159196229,"Advance Care Planning Among American Indian, Alaska Native, and Native Hawaiian Peoples",Goins R.T.,2022,Generations,,0,NO,NONE,",EID:404",0,Article not found via DOI or EID,2025-06-25T18:15:42.303279
3_Citation_Chain (Batch 3),2-s2.0-85208730046,Commercial insurers' market power and hospital prices in Medicaid managed care,Wang Y.,2025,Health Services Research,10.1111/1475-6773.14407,2,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:15:45.151157
3_Citation_Chain (Batch 3),2-s2.0-85201578523,Reported Prices for High-Volume Hand Surgery in the Era of Price Transparency: Implications for Future Policy Iterations,Fahmy J.N.,2025,Plastic and Reconstructive Surgery,10.1097/PRS.0000000000011378,1,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:15:46.848533
3_Citation_Chain (Batch 3),2-s2.0-85170056845,Do Insurers With Greater Market Power Negotiate Consistently Lower Prices for Hospital Care? Evidence From Hospital Price Transparency Data,Wang Y.,2024,Medical Care Research and Review,10.1177/10775587231193475,9,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:15:51.382267
3_Citation_Chain (Batch 3),2-s2.0-85201341807,Cross-Validation of Insurer and Hospital Price Transparency Data,Henderson M.A.,2024,American Journal of Managed Care,10.37765/ajmc.2024.89594,1,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:15:53.046819
3_Citation_Chain (Batch 3),2-s2.0-85192196883,Performance of health care service area definitions for capturing variation in inpatient care and social determinants of health,Crook H.,2024,Health Services Research,10.1111/1475-6773.14312,1,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:15:54.748508
3_Citation_Chain (Batch 3),2-s2.0-85203052455,Trauma Activation Fees Vary Widely Across US Trauma Centers,Scott K.W.,2024,Health Affairs,10.1377/HLTHAFF.2023.00933,1,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:15:56.429551
3_Citation_Chain (Batch 3),2-s2.0-85187110361,A Competition Perspective on Physician Non-compete Agreements,Gilman D.J.,2024,Inquiry United States,10.1177/00469580241237621,1,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:15:58.126668
3_Citation_Chain (Batch 3),2-s2.0-85187141803,"The relationship between community social risk factors and regional hospital-reported cash, negotiated, and chargemaster prices for 14 common services",Chang E.,2024,BMC Health Services Research,10.1186/s12913-024-10762-1,0,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:15:59.819277
3_Citation_Chain (Batch 3),2-s2.0-85186979229,"The impact of the COVID pandemic on health, healthcare utilization, and healthcare spending",Kattih N.,2024,Research in Economics,10.1016/j.rie.2024.100951,0,YES,DOI,200,4252,,2025-06-25T18:16:01.484058
3_Citation_Chain (Batch 3),2-s2.0-85187104342,Payer Type and Emergency Department Visit Prices,Morey J.R.,2024,JAMA Network Open,10.1001/jamanetworkopen.2024.1297,0,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:16:04.561399
3_Citation_Chain (Batch 3),2-s2.0-85180447147,Cash critical care time prices vary substantially by region and hospital ownership: A cross-sectional study,Zitek T.,2024,American Journal of Emergency Medicine,10.1016/j.ajem.2023.12.009,0,YES,DOI,200,5740,,2025-06-25T18:16:06.268437
3_Citation_Chain (Batch 3),2-s2.0-85185621101,Facts About Hospital-Insurer Contracting,Henderson M.,2024,American Journal of Managed Care,10.37765/ajmc.2024.89502,0,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:16:09.512958
3_Citation_Chain (Batch 3),2-s2.0-85151617584,"Hospital Survival In Rural Markets: Closures, Mergers, And Profitability",Carroll C.,2023,Health Affairs,10.1377/hlthaff.2022.01191,26,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:16:12.988793
3_Citation_Chain (Batch 3),2-s2.0-85151668857,"The Relationships Among Cash Prices, Negotiated Rates, And Chargemaster Prices For Shoppable Hospital Services",Wang Y.,2023,Health Affairs,10.1377/hlthaff.2022.00977,17,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:16:14.724297
3_Citation_Chain (Batch 3),2-s2.0-85146921354,Assessing Compliance with Hospital Price Transparency over Time,Henderson M.,2023,Journal of General Internal Medicine,10.1007/s11606-022-08020-3,9,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:16:16.385392
3_Citation_Chain (Batch 3),2-s2.0-85146124535,Price Variability for Common Radiology Services within U.S. Hospitals,Jiang J.,2023,Radiology,10.1148/radiol.221815,9,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:16:19.213930
3_Citation_Chain (Batch 3),2-s2.0-85157973504,Insurer Market Power And Hospital Prices In The US,Losasso A.T.,2023,Health Affairs,10.1377/hlthaff.2022.01184,7,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:16:20.894964
3_Citation_Chain (Batch 3),2-s2.0-85150620982,Florida emergency department facility fees vary significantly based on hospital ownership,Zitek T.,2023,Academic Emergency Medicine,10.1111/acem.14696,3,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:16:22.582181
3_Citation_Chain (Batch 3),2-s2.0-85140989314,"Price variation for total shoulder arthroplasty in the United States: transparency, variability, and compliance with federal reporting regulations",Best M.J.,2023,Seminars in Arthroplasty Jses,10.1053/j.sart.2022.09.006,3,YES,DOI,200,5530,,2025-06-25T18:16:24.233935
3_Citation_Chain (Batch 3),2-s2.0-85176445474,"Professional Fees for U.S. Hospital Care, 2016-2020",Peterson C.,2023,Medical Care,10.1097/MLR.0000000000001900,2,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:16:26.007769
3_Citation_Chain (Batch 3),2-s2.0-85150670848,Factors Associated With Hospital Commercial Negotiated Price for Magnetic Resonance Imaging of Brain,Jiang J.X.,2023,JAMA Network Open,10.1001/jamanetworkopen.2023.3875,2,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:16:30.527879
3_Citation_Chain (Batch 3),2-s2.0-85172112895,"Health Care Financing, Costs, and Value",Knickman J.R.,2023,Jonas Kovners Health Care Delivery in the United States 13th Edition,,0,NO,NONE,",EID:404",0,Article not found via DOI or EID,2025-06-25T18:16:32.205207
3_Citation_Chain (Batch 3),2-s2.0-85126241436,How price and quantity factors drive spending in nongroup and employer health plans,Pelech D.,2022,Health Services Research,10.1111/1475-6773.13962,7,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:16:33.789931
3_Citation_Chain (Batch 3),2-s2.0-85139660531,Certificates of Public Advantage and Hospital Mergers,Garmon C.,2022,Journal of Law and Economics,10.1086/719661,6,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:16:35.470132
