Publication_Type,Title,Authors_Standardized,Publication_Year,Journal_Venue,Publisher,Usage_Type,Usage_Justification,Usage_Description,Research_Domain,Geographic_Focus,Data_Years_Used,Key_Findings,Policy_Implications,DOI_URL,Notes
ACADEMIC,Characteristics of Health Systems Operating Medicare Advantage Plans,Hedquist A.; [+ others],2024,JAMA Health Forum,Harvard T.H. Chan School of Public Health,PRIMARY_ANALYSIS,"AHRQ data is directly used to identify systems and a key characteristic (MA plan operation), with the 18.9% figure being a direct finding.","The Compendium was used to identify health systems that were operating Medicare Advantage (MA) plans, either through direct ownership or partial management arrangements. The authors specifically mention using Compendium information spanning the years 2018 to 2022 and linking these data with the ""AHRQ Compendium Hospital Linkage file"" to obtain facility-level characteristics. The Compendium served as the foundational dataset for defining their cohort of health systems; for instance, the study states, ""In 2022, the compendium identified 640 health systems; 121 (18.9%) self-reported operating an affiliated MA plan"". This demonstrates a direct application of the Compendium for identifying systems and their specific characteristics (MA plan operation)", Payment & Reimbursement,USA,2018 - 2022,"The study determined that in 2022, 18.9% of the 640 identified health systems operated an affiliated Medicare Advantage plan, with enrollment in these system-operated MA plans increasing to over 4.1 million beneficiaries, representing 13.1% of the total MA market","The documented growth in system-operated MA plans, identified using the AHRQ Compendium, signals a significant trend that warrants further research and policy attention regarding its impact on Medicare beneficiary value, quality of care, and competition within the MA market",https://jamanetwork.com/journals/jama-health-forum/fullarticle/2825780,
ACADEMIC,Hospital Outpatient Dept Billing Is a Poor Indicator of Primary Care Practice Integration,Chatrath S.; [+ others],2024,Health Services Research,Mathematica,CONTEXTUAL_REFERENCE,The AHRQ Compendium and its associated developmental observations/analyses are referenced to provide context on methodological challenges.,"The publication references the ""AHRQ Compendium of US Health Systems"" (2018 version) in the discussion section. This reference is used to provide context on the complexities of identifying health system affiliations. Specifically, it notes observations made during the construction of the Compendium files, such as the infrequency of physician practice Taxpayer Identification Numbers (TINs) being formally recorded in the Provider Enrollment, Chain, and Ownership System (PECOS) as ""owned"" by a hospital. Furthermore, it mentions that analyses conducted for the Compendium (using 2018 Medicare claims) found that most TINs affiliated with health systems did have clinicians billing from hospital outpatient department (HOPD) facilities. This information is used to underscore the challenges in relying on single data sources for determining system affiliation and to highlight the nuanced findings that can emerge from comprehensive data compilation efforts like the Compendium.",Methodology & Data Quality,USA,2018-2021,"The construction and associated analyses of the 2018 AHRQ Compendium revealed discrepancies between formal ownership data (like PECOS) and billing patterns for identifying health system affiliations, though the Compendium's own analysis of 2018 Medicare claims indicated that most system-affiliated TINs had some HOPD billing.","Policymakers relying solely on administrative datasets like PECOS for identifying system affiliation may obtain an incomplete view of physician-hospital integration, suggesting the value of multifaceted data approaches, such as those potentially employed or documented by the AHRQ Compendium, for more accurate assessments.",https://doi.org/10.1111/1475-6773.14284,
POLICY,Rural Hospitalsâ€™ Perspectives on Health System Affiliation,James J.; [+ others],2024,RUPRI Health Panel Brief,Rural Policy Research Institute,PRIMARY_ANALYSIS,"The primary activity is ""performed their own analysis using... AHRQ... data to generate specific statistics (44.4%)."" The definitional reference is secondary.","RUPRI authors performed their own analysis using the 2018 and 2021 AHRQ Compendium of U.S. Health Systems data (along with AHA data) to generate specific statistics for an eight-state region, including the finding that 44.4% of hospitals in that region were part of a regional system and detailing changes in hospital affiliations within systems between 2018 and 2021. The report also separately references the AHRQ Compendium for its widely utilized definition of a health system (one hospital, physician groups, common ownership/management, and physician counts) to provide context.",Rural Health,Upper Midwest USA,2018-2021,"Through their direct analysis of the 2018 and 2021 AHRQ Compendium data, the report quantified health system affiliation in an eight-state rural region, finding 44.4% of hospitals were system-affiliated and identifying shifts in these affiliations over that period."," RUPRI panel's direct analysis of AHRQ Compendium data offers specific regional insights into health system affiliation dynamics, which is critical for rural hospital leaders and policymakers in developing informed strategies for affiliation and ensuring sustainable rural healthcare.",https://rupri.org/wp-content/uploads/Health-System-Affiliation-Landscape.Finalversion.April-2024.pdf,
OTHER,Vertical Integration and Plan Design in Healthcare Markets,Cuesta J.; [+ others],2024,NBER Working Paper 32833,"Stanford University and NBER; Pontifical Catholic University of Chile; Massachusetts Institute of Technology, MIT Sloan School of Management, and NBER ",CONTEXTUAL_REFERENCE,"Citing AHRQ for a statistic (""about half..."") to provide context.","Used 2023 AHRQ Compendium to provide U.S. context on Vertical Integration, citing that about half of inpatient care is from hospitals that also sell insurance  and listing examples of high-quality VI hospitals.",Vertical Integration,Chile (with U.S. lit review),2023,"The AHRQ Compendium indicates significant U.S. vertical integration, with about half of inpatient care at hospitals selling insurance and some high-quality hospitals being vertically integrated",The Compendium findings on high VI prevalence and involvement of quality U.S. hospitals highlight vertical integration as a significant concern for policymakers and regulators,https://www.nber.org/system/files/working_papers/w32833/w32833.pdf,
POLICY,Key Facts About Hospitals (2025 Update),"Zachary Levinson, Scott Hulver, Jamie Godwin, and Tricia Neuman",2025,KFF,Kaiser Family Foundation,RESEARCH_ENABLER,HRQ (via RAND) provides the system definitions/linkages. KFF then uses these AHRQ-informed definitions to perform their own analysis of affiliation rates (resulting in the 69% figure) and market concentration. AHRQ enables KFF's specific analysis.,"Used system affiliation data via RAND Hospital Data, which itself utilized an (2022,2021?) year AHRQ Compendium to link hospitals to parent systems, for KFF's analysis of system affiliation rates (e.g., 69% in 2023) and market concentration.",Consolidation & Mergers,USA,2022,"69% of community hospitals were affiliated with a health system in 2023 (this finding relies on system affiliation data from RAND Hospital Data, which used the AHRQ Compendium for system definitions)",he finding of 69% hospital system affiliation (relying on AHRQ Compendium-informed definitions) supports policy discussions on addressing hospital consolidation and its impacts on competition and health care costs.,https://www.kff.org/key-facts-about-hospitals/?entry=data-sources-about-the-data,
OTHER,"Benefit Design, Provider Networks & Performance of System-Operated Medicare Advantage Plans",Yanlei Ma; [+ others],2025,AcademyHealth ARM 2025 Abstract,Harvard T.H. Chan School of Public Health; Brigham and Women's Hospital,PRIMARY_ANALYSIS,AHRQ is used to identify and count (447) system-owned MA plans. This count is a direct output from AHRQ data and these identified plans are the cohort for their comparative analysis.,"Used an unspecified (2016?) year AHRQ Compendium of US Health Systems to identify 447 Medicare Advantage plans as health system-owned for a comparative analysis of their benefit design, provider networks, and performance against other MA plans in 2022",Vertical Integration,USA,2016,"447 out of 2,529 Medicare Advantage plans in the 2022 sample were identified as health system-operated using the AHRQ Compendium",The study's findings on health system-owned MA plans (identified using the AHRQ Compendium) support calls for policymakers to carefully monitor their growth to address potential anticompetitive practices and evaluate impacts on beneficiary access.,https://academyhealth.confex.com/academyhealth/2025arm/meetingapp.cgi/Paper/71707,
OTHER,Impact of Health System Affiliation on Continuity & Comprehensiveness,Patel R.; [+ others],2025,AcademyHealth ARM 2025 Abstract,American Board of Family Medicine,PRIMARY_ANALYSIS,"AHRQ data (Linkage PUF) is used to match records and determine affiliation status. The key finding (""42% of the... physicians studied were affiliated..."") is a direct result of this processing of AHRQ data."," Used 2016 AHRQ Health System Compendium Group Practice Linkage Public Use File to match practice billing legal names to Medicare data for determining the health system affiliation status of 48,395 U.S. board-certified family physicians",Quality & Outcomes,USA,2016,"42% of the 48,395 U.S. board-certified family physicians studied were affiliated with a health system in 2016, as determined using the AHRQ Compendium.",The finding that system-affiliated family physicians had lower continuity of care (0.54 vs. 0.60) implies that policies addressing primary care quality should investigate and potentially mitigate negative impacts of health system operational dynamics on care continuity.,https://academyhealth.confex.com/academyhealth/2025arm/meetingapp.cgi/Paper/70789,
GOVERNMENT,Enhancing Health Data at the U.S. Census Bureau: Leveraging Administrative Records and Record Linkages to Develop a Physician-Business Linked Database ,Udalova V.,2024,IAOS-ISI 2024 Conference ,U.S. Census Bureau,RESEARCH_ENABLER,"AHRQ Compendium provides data ""for integration into a new... database."" This means AHRQ data is an input for building a new research tool/database, enabling future research.",Used AHRQ Compendium (year not specified) to provide data on hospitals and health system affiliations for integration into a new physician-business linked database. ,Methodology & Data Quality,USA,n/a,No AHRQ-derived statistic is presented in this document; the presentation describes the development of a database that incorporates AHRQ data,"The use of AHRQ Compendium to identify health system structures is intended to support future analyses for health policy, including those related to market changes, vertical integration, and provider organization. ",https://www2.census.gov/about/transformation/maximizing-operational-efficiency/data-centric-business-ecosystem/frames/iaos-isi-2024-enhancing-health-data.pdf,
POLICY,2023-2024 Physician Practice Information Survey Methodology Report,"Eric Grau, Priya Bajaj, Danielle Whicher, and Martha Kovac",2024,Mathematica,Mathematica,RESEARCH_ENABLER,Referencing AHRQ documentation for a definition and noting AHRQ's prior methods to support their own methodology report. This is using AHRQ's definitions/methods as part of their methodological framework.,"Used 2018 AHRQ Compendium documentation (Group Practice Linkage File Technical Documentation ) to reference a definition of practice representative  and a general 2024 AHRQ Compendium reference  to note prior use of TINs for identifying group practices, for providing contextual support in this methodology report",Methodology & Data Quality,USA,2018-2021,"the AHRQ Compendium's referenced documentation offers established definitions (e.g., for 'practice representative' from its 2018 linkage file documentation ) and affirms methods (e.g., use of TINs for practice identification per a 2024 general reference to AHRQ's work ) valuable for grounding health services research methodology.","The use of established definitions and affirmed methods from AHRQ Compendium documentation, as referenced in this report (e.g., for practice identification ), enhances the methodological soundness of surveys like the PPI, which are critical for developing accurate data to inform Medicare physician payment rates.",https://www.ama-assn.org/system/files/ppi-survey-methods-report.pdf,
ACADEMIC,Does Physician-Hospital Vertical Integration Affect Hospital Output?,Soumya Upadhyay and Neeraj Bhandari,2024,Health Services Insights,"Department of Healthcare Administration and Policy, School of Public Health, University of Nevada at Las Vegas",RESEARCH_ENABLER,"AHRQ data is used to link hospitals, classify system size, and these are used as control variables (""for controlling for confounding"") in their regression analysis. AHRQ data is providing key variables for their analytical model.","Used 2018, 2020, 2021 AHRQ Compendium data on health system IDs and system characteristics (total physicians, group practices, hospitals, beds, nursing homes) to link hospitals to parent systems and classify system size for controlling for confounding in regression analysis of vertical integration's impact on hospital output.",Vertical Integration,USA,"2018, 2020, 2021","Using AHRQ Compendium data, 38% of sample hospital-year observations were unaffiliated with any system, while 18% were affiliated with large, 20% with moderate, and 24% with small sized systems;  this classification was crucial for controlling for system size in the study's models.",The AHRQ Compendium's capacity to define health system affiliations and characteristics (identifying that 38% of hospitals are unaffiliated and 18% belong to large systems) supports regulatory agencies' ability to monitor market structure and assess the competitive implications of vertical integration.,https://pmc.ncbi.nlm.nih.gov/articles/PMC11645726/,
POLICY,2024 Trends Shaping the Health Economy,Sanjula Jain; [+ others],2024,Trilliant Health,Trilliant Health,RESEARCH_ENABLER,"AHRQ identifies a total number (6,764 hospitals). This number is then the foundation ""for extrapolating"" other costs. AHRQ data enables the methodology of extrapolation.","Used 2022 AHRQ Compendium to identify the total number of U.S. hospitals (6,764) for extrapolating median hospital-level administrative expenditures and direct patient care/contracted labor costs.",Payment & Reimbursement,USA,2022,"The 2022 AHRQ Compendium identified 6,764 U.S. hospitals, a figure used to extrapolate that U.S. hospital administrative expenditures reached $278B (a 39.6% increase from 2011-2021) and direct patient care/contracted labor costs reached $330B (a 45.2% increase from 2011-2021) in 2021;  these rising costs occurred with minimal improvement in patient outcomes or quality of care.","The significant hospital expenditures ($278B administrative, $330B labor in 2021) extrapolated using the AHRQ-defined hospital universe, coupled with minimal outcome improvements, support policy evaluations regarding hospital cost structures and administrative burden to enhance healthcare value.",https://www.trillianthealth.com/market-research/reports/2024-health-economy-trends,
ACADEMIC,Low-Value Care at the Actionable Level of Individual Health Systems,"Ishani Ganguli, Nancy E Morden, Ching-Wen Wendy Yang, Carrie H Colla",2021,JAMA Internal Medicine,"Brigham and Womenâ€™s Hospital, Harvard Medical School, The Dartmouth Institute for Health Policy and Clinical Practice",PRIMARY_ANALYSIS,"AHRQ data is used to identify systems and define their characteristics. These AHRQ-defined systems and characteristics become the basis for analyzing variations in low-value care, and findings (e.g., scores by teaching status) are reported.","Used 2016 AHRQ Compendium to identify 556 health systems and to help define their organizational characteristics (such as teaching status, ACO participation, profit status, and insurance product ownership) for a cohort study on low-value care variation.",Quality & Outcomes,USA,2016,"The 2016 AHRQ Compendium was used to identify 556 health systems for analysis; systems lacking a major teaching hospital (an AHRQ-derived characteristic) had higher adjusted composite low-value care scores (0.11 [95% CI, 0.0 to 0.22]) compared to systems with a major teaching hospital (-0.21 [95% CI, â€“0.37 to â€“0.05]), highlighting that AHRQ-defined system structures are associated with significant variations in the provision of low-value care.",Variations in low-value care across AHRQ-defined health systems support targeted quality improvement initiatives by health systems and provide actionable metrics for policymakers and payers to track performance and potentially design value-based contracts.,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/2784487,
POLICY,Analysis of the AHRQ Compendium of U.S. Health Systems Shows System Growth Continues but Benefits Remain Unclear,"Eugene C. Rich, David J. Jones, Rachel M. Machta,; [+ others]",2021,Mathematica ProgressÂ Together Blog,Mathematica,PRIMARY_ANALYSIS,"The title explicitly states ""Analysis of the AHRQ Compendium."" The description indicates AHRQ data is used ""to identify and classify... for analyzing system growth, physician affiliation..."" with direct findings like ""51% of physicians were affiliated... an increase from 40%...""","Used 2016 and 2018 AHRQ Compendium to identify and classify U.S. hospitals and physician practices within health systems for analyzing system growth, physician affiliation, and care patterns.",Consolidation & Mergers,USA,"2016, 2018","51% of physicians were affiliated with health systems in 2018, an increase from 40% in 2016, this analysis confirmed substantial nationwide growth in health system affiliation, which also increased in nearly every metropolitan area during this two-year period.","The finding of continued health system growth (e.g., 51% of physicians system-affiliated in 2018) with unclear benefits supports the need for policymakers and health care leaders to continuously monitor health system development and its impact on care value and costs.",https://www.mathematica.org/blogs/analysis-of-the-ahrq-compendium-of-us-health-systems-shows-system-growth-continues,
ACADEMIC,Racial differences in low value care among older adult Medicare patients in US health systems: retrospective cohort study,"Ishani Ganguli, Matthew B Mackwood, Ching-Wen Wendy Yang,; [+ others]",2023,BMJ,"Department of Medicine, Brigham and Womenâ€™s Hospital and Harvard Medical School, Boston, MA, USA",PRIMARY_ANALYSIS,"AHRQ is used to identify systems and define a key characteristic (safety-net status). This information is then used for patient attribution and to assess contributions to racial differences. The findings (e.g., 34.3% classified as safety-net systems) are direct outputs based on AHRQ data that then feed into the larger analysis of care differences.",Used 2018 AHRQ Compendium to identify 595 health systems and define their safety-net status (based on Disproportionate Share Hospital patient percentage indicators within the Compendium) for patient attribution and assessing system-level contributions to racial differences in low-value care.,Health Equity & Access,USA,2018,"The 2018 AHRQ Compendium was utilized to identify 595 health systems for the study, and to classify 204 (34.3%) of these as safety-net systems, which was essential for analyzing variations in care delivery.","The AHRQ Compendium's characterization of health systems (e.g., 34.3% identified as safety-net) supports policy urging health systems to internally measure and stratify low-value service use by race and sex to advance health equity.",https://doi.org/10.1136/bmj-2023-074908,
